"Professor","Course","Semester","AcademicYear","StudentName","EvaluationScore"
"Cindy","Financial Modeling","Spring",4045,"Aaren Andryushin",134.34341346
"Jack","US History","Fall",2021,"Aaren Andryushin",68.32859101
"Jimmy","Counseling Psychology","Fall",2021,"Aaren Andryushin",70.97335023
"Tony","Modern History","Spring",2021,"Aaren Andryushin",73.0237479
"Wang","Data Visualization","Fall",2021,"Abbey Treadwell",69.55006553
"Wang","Statistics","Spring",2021,"Abbey Treadwell",67.81984212
"Andrew","Investment","Spring",2021,"Abeu Loody",70.75861573
"Antony","Communication","Fall",4045,"Abeu Loody",146.15352282
"Cindy","Accounting","Fall",4045,"Abeu Loody",149.59665816
"Jack","US History","Fall",2021,"Abeu Loody",69.68892645
"Jack","Urban sociology","Fall",2021,"Abeu Loody",73.78211
"Jill","Environmental Ethics","Fall",2021,"Abeu Loody",76.41886689
"Jimmy","Counseling Psychology","Fall",2021,"Abeu Loody",69.65136026
"Lee","Python2","Spring",2021,"Abeu Loody",77.41445947
"Peter","General Biology","Fall",2021,"Abeu Loody",71.63481432
"Sue","Commercial Law","Spring",2021,"Abeu Loody",69.47899662
"Tina","Big Data","Fall",2021,"Abeu Loody",67.17685945
"Tony","Modern History","Fall",2021,"Abeu Loody",71.91694086
"Wang","Data Visualization","Fall",2021,"Abeu Loody",68.99074327
"Wang","Statistics","Fall",2021,"Abeu Loody",68.20657969
"Antony","Communication","Fall",4043,"Abie Rentoll",168.8683648
"Jill","Environmental Ethics","Fall",2019,"Abie Rentoll",78.13887963
"Jimmy","Counseling Psychology","Fall",2019,"Abie Rentoll",65.11109843
"Kim","Python2","Fall",2019,"Abie Rentoll",72.84713394
"Peter","General Biology","Fall",2019,"Abie Rentoll",71.10306177
"Tim","Accounting","Fall",2019,"Abie Rentoll",78.22715284
"Tim","Investment","Fall",2019,"Abie Rentoll",82.50033199
"Fiona","Financial Modeling","Fall",4047,"Abigael Allright",150.59705128
"Jack","Urban sociology","Fall",2023,"Abigael Allright",75.20160555
"Jane","US History","Spring",2023,"Abigael Allright",72.88318871
"Jill","Environmental Ethics","Spring",2023,"Abigael Allright",74.9340804
"Jimmy","Counseling Psychology","Fall",2023,"Abigael Allright",76.33211363
"Kim","Python2","Spring",2023,"Abigael Allright",73.4411306
"Lee","Data Visualization","Fall",2023,"Abigael Allright",77.2593424
"Peter","General Biology","Spring",2023,"Abigael Allright",71.62512641
"Sue","Commercial Law","Spring",2023,"Abigael Allright",74.65273637
"Tina","Big Data","Spring",2023,"Abigael Allright",70.99305522
"Tony","Modern History","Fall",2023,"Abigael Allright",71.87747705
"Wang","Statistics","Fall",2023,"Abigael Allright",70.22856034
"Antony","Communication","Spring",4046,"Abigael Winstanley",155.08802482
"Kim","Python2","Spring",2022,"Abigael Winstanley",68.73200455
"Andrew","Investment","Spring",2022,"Adele Jira",82.83368882
"Cindy","Financial Modeling","Spring",4046,"Adele Jira",143.515114
"Jack","US History","Spring",2022,"Adele Jira",75.65589744
"Jack","Urban sociology","Spring",2022,"Adele Jira",71.53482082
"Jason","Big Data","Fall",2022,"Adele Jira",71.32868754
"Jill","Environmental Ethics","Spring",2022,"Adele Jira",69.68709204
"Kim","Python2","Fall",2022,"Adele Jira",68.46930565
"Lee","Data Visualization","Fall",2022,"Adele Jira",75.45474729
"Lee","Statistics","Fall",2022,"Adele Jira",78.33751516
"Peter","General Biology","Spring",2022,"Adele Jira",74.25723844
"Sue","Commercial Law","Fall",2022,"Adele Jira",74.72626849
"Tim","Accounting","Fall",2022,"Adele Jira",71.05360896
"Tony","Modern History","Fall",2022,"Adele Jira",74.86296889
"Jill","Environmental Ethics","Spring",2022,"Adena Dummett",69.53386357
"Lee","Data Visualization","Fall",2022,"Adena Dummett",78.70322629
"Peter","General Biology","Fall",2022,"Adena Dummett",67.26990774
"Sue","Commercial Law","Fall",2022,"Adena Dummett",78.43895639
"Tim","Accounting","Fall",2022,"Adena Dummett",74.19156755
"Antony","Communication","Fall",4047,"Adey Dominy",138.93105638
"Fiona","Financial Modeling","Fall",2023,"Adey Dominy",68.51839643
"Jill","Environmental Ethics","Fall",2023,"Adey Dominy",78.18555711
"Lee","Data Visualization","Spring",2023,"Adey Dominy",68.72101923
"Peter","General Biology","Fall",2023,"Adey Dominy",79.08603858
"Tim","Investment","Fall",2023,"Adey Dominy",76.98155065
"Jimmy","Counseling Psychology","Fall",2020,"Adi Merriday",82.24042671
"Lee","Python2","Spring",2020,"Adi Merriday",73.02887502
"Antony","Communication","Fall",4046,"Adi Skelton",170.98566596
"Jill","Environmental Ethics","Spring",2022,"Adi Skelton",75.23082028
"Cindy","Financial Modeling","Fall",4043,"Adina Wetherburn",140.26193348
"Jason","Big Data","Fall",2019,"Adina Wetherburn",67.91260487
"Jill","Environmental Ethics","Spring",2019,"Adina Wetherburn",75.99531687
"Lee","Statistics","Fall",2019,"Adina Wetherburn",76.07384134
"Peter","General Biology","Spring",2019,"Adina Wetherburn",66.35908223
"Sue","Commercial Law","Fall",2019,"Adina Wetherburn",72.11086962
"Tim","Investment","Fall",2019,"Adina Wetherburn",69.82741516
"Tony","Modern History","Fall",2019,"Adina Wetherburn",79.9930702
"Wang","Data Visualization","Spring",2019,"Adina Wetherburn",67.58142519
"Kim","Data Visualization","Fall",2019,"Adlai Chaise",77.22708122
"Kim","Python2","Fall",2019,"Adlai Chaise",83.66990487
"Lee","Statistics","Fall",2019,"Adlai Chaise",81.60981072
"Jill","Environmental Ethics","Fall",2019,"Adolf Fernihough",80.5572589
"Jimmy","Counseling Psychology","Spring",2019,"Adolf Fernihough",78.88466891
"Kim","Data Visualization","Fall",2019,"Adolf Fernihough",73.57511347
"Kim","Python2","Spring",2019,"Adolf Fernihough",80.81464944
"Lee","Statistics","Fall",2019,"Adolf Fernihough",71.96100754
"Peter","General Biology","Spring",2019,"Adolf Fernihough",69.51904022
"Sue","Commercial Law","Spring",2019,"Adolf Fernihough",77.23667811
"Antony","Communication","Spring",4044,"Adolpho Reid",139.30711294
"Jill","Environmental Ethics","Spring",2020,"Adolpho Reid",68.95484856
"Tony","Modern History","Spring",2020,"Adolpho Reid",79.4069364
"Antony","Communication","Spring",4045,"Adoree Girardoni",143.78630226
